label,filename,duration_sec,num_strokes,x_mean,x_std,x_min,x_max,x_range,y_mean,y_std,y_min,y_max,y_range,z_mean,z_std,z_min,z_max,z_range
m,m_14.csv,1.4473979473114014,1,-22.08783783783784,38.67919846575514,-118,51,169,112.61824324324324,93.77994186692783,-1,332,333,88.85135135135135,217.12620292854493,-161,494,655
m,m_15.csv,1.3612172603607178,1,-23.01851851851852,46.185294631259374,-157,63,220,128.14814814814815,95.92356921209142,-14,390,404,100.47407407407407,223.59172929053534,-194,497,691
m,m_16.csv,1.5361475944519043,1,-105.17096774193548,198.21478281216574,-511,158,669,109.15161290322581,89.9091572132015,-20,382,402,59.351612903225806,83.00677779074682,-56,298,354
m,m_17.csv,1.4711339473724365,1,-129.92283950617283,212.6788671433378,-511,128,639,136.5216049382716,90.89910115399961,-3,388,391,105.8179012345679,133.56834333438584,-74,362,436
m,m_18.csv,1.3899307250976562,1,-3.872413793103448,43.64437439463156,-121,110,231,155.84827586206896,105.36726549149633,8,410,402,89.36551724137931,225.23715494885545,-206,497,703
m,m_19.csv,1.3524727821350098,1,-31.984674329501917,47.85996957058557,-264,40,304,161.68199233716476,113.55419928156275,-11,416,427,113.4521072796935,231.1825673104151,-200,497,697
m,m_2.csv,1.3386406898498535,1,-101.37588652482269,256.9277433909082,-512,250,762,136.77659574468086,111.71234229852027,-28,420,448,66.39716312056737,99.27336566629295,-78,264,342
m,m_20.csv,1.374922513961792,1,-27.693661971830984,52.309231008813256,-195,57,252,159.1549295774648,107.33078856271045,-14,430,444,95.61971830985915,228.1264676961545,-192,496,688
m,m_21.csv,1.4999160766601562,1,-22.061093247588424,53.045380426644186,-226,114,340,158.11254019292605,111.50100623143892,0,410,410,99.43408360128618,219.66207477082898,-162,497,659
m,m_22.csv,1.4436442852020264,1,-16.364864864864863,47.413528591964116,-192,71,263,159.5641891891892,102.85653626397165,24,430,406,101.91216216216216,235.97399825315583,-188,497,685
m,m_23.csv,1.4261658191680908,1,-19.552447552447553,40.56273950430038,-152,101,253,133.63636363636363,95.99773721416165,0,364,364,75.61888111888112,206.2591578661563,-140,497,637
m,m_24.csv,1.3898932933807373,1,-13.93006993006993,49.249760936229876,-188,121,309,151.72727272727272,102.73038682101578,16,430,414,87.49300699300699,221.39292280178185,-151,497,648
m,m_25.csv,1.3823859691619873,1,-13.820512820512821,40.1201415020911,-111,90,201,129.88278388278388,96.73968726547292,21,436,415,84.7985347985348,226.9604616983229,-156,497,653
m,m_3.csv,1.352550983428955,1,-99.09677419354838,224.8654464748502,-511,176,687,144.4731182795699,121.82198281835389,1,498,497,60.8494623655914,104.3172333345417,-102,314,416
m,m_4.csv,1.2762246131896973,1,-102.656,211.0628336372178,-511,235,746,185.676,133.36947435887663,-5,497,502,100.42,203.5498705457628,-200,502,702
m,m_5.csv,1.3961851596832275,1,-104.98327759197325,185.45261986843695,-508,164,672,181.5351170568562,138.49144549055526,-36,496,532,139.5418060200669,231.2531822920871,-230,498,728
m,m_6.csv,1.3599803447723389,1,-62.47349823321555,105.86895672147449,-377,70,447,157.96819787985865,118.56713563085425,-10,488,498,81.4452296819788,259.7527868713771,-266,497,763
m,m_7.csv,1.4512500762939453,1,-21.78062678062678,61.488073367630946,-297,85,382,176.0,111.73082449734784,-14,436,450,99.75498575498575,259.09080001737357,-258,500,758
m,m_8.csv,1.4199316501617432,1,-25.44097222222222,51.60824679959055,-224,68,292,153.19097222222223,99.88694823111804,14,438,424,93.02083333333333,252.56744278174514,-222,499,721
m,m_9.csv,1.4748854637145996,1,-45.63003663003663,93.13726495820947,-421,70,491,145.17216117216117,121.2830141292178,-6,494,500,102.53113553113553,238.9127177670502,-196,498,694
n,n_1.csv,1.082326889038086,1,-59.22171945701358,135.09707176267074,-350,136,486,143.24886877828055,108.73899760889489,-12,404,416,148.45248868778282,232.13590015657974,-220,497,717
n,n_10.csv,1.1537249088287354,1,-10.913223140495868,59.62591466754789,-118,167,285,187.28512396694214,131.7892717292672,26,456,430,134.02892561983472,222.50610320801545,-282,492,774
n,n_11.csv,1.057121753692627,1,-107.5324074074074,191.25548203905524,-509,143,652,155.66203703703704,135.14612812603656,4,496,492,128.70833333333334,134.64161948548607,-82,412,494
n,n_12.csv,1.0111949443817139,1,23.50438596491228,165.2236369317141,-223,329,552,196.0482456140351,135.49443588390957,-2,496,498,90.6140350877193,166.63904957060973,-166,422,588
n,n_13.csv,1.0598125457763672,1,-109.36186770428016,174.92723203949137,-509,103,612,163.13618677042803,113.15362609949794,-26,486,512,134.68093385214007,149.7811663698895,-62,428,490
n,n_14.csv,1.0986621379852295,1,-41.9662447257384,63.57318383729922,-309,51,360,156.0168776371308,116.6175106136937,-18,442,460,153.06751054852322,219.11440514411126,-166,496,662
n,n_15.csv,1.0736658573150635,1,-27.373873873873872,72.26572284944189,-255,204,459,173.11711711711712,124.57763856916853,3,494,491,165.23423423423424,202.43468104473214,-127,496,623
n,n_16.csv,1.126204013824463,1,-15.64935064935065,61.378887370120204,-210,114,324,195.17316017316017,145.45441649015552,3,497,494,129.1904761904762,230.84468351881682,-264,498,762
n,n_17.csv,1.026186466217041,1,-26.858974358974358,77.06583624758841,-194,246,440,173.89743589743588,135.39434596923087,-26,494,520,164.42307692307693,225.31537378216098,-140,497,637
